PickupTime,DayOfWeek,DistanceKm,DemandFactor,FinalPrice
11:00,2,8.21,2.37,40.5
11:00,3,14.17,1.9,54.31
11:00,3,18.81,0.95,37.56
11:00,4,12.84,1.2,33.0
11:00,4,9.14,1.19,24.62
11:00,5,8.28,2.34,40.34
11:00,5,15.06,2.25,67.19
11:00,6,3.36,1.38,13.08
11:00,6,16.11,0.96,33.11
11:00,7,5.42,1.03,14.83
11:00,7,16.72,1.27,43.78
12:00,1,9.64,0.92,20.91
12:00,1,4.05,1.72,17.39
12:00,2,16.24,1.45,48.06
12:00,2,7.75,0.97,18.41
12:00,3,3.79,1.14,12.49
12:00,3,5.71,1.81,23.62
12:00,4,8.46,2.46,43.0
12:00,4,7.11,2.27,34.36
12:00,5,3.65,1.74,16.25
12:00,5,11.89,1.95,47.39
12:00,6,9.38,1.74,34.69
12:00,6,16.0,1.14,38.24
12:00,7,11.57,1.84,43.88
12:00,7,16.07,1.16,38.99
13:00,1,9.46,0.94,20.95
13:00,1,13.93,2.29,63.51
13:00,2,8.36,2.21,38.68
13:00,2,13.84,0.93,28.31
13:00,3,10.46,0.97,23.27
13:00,3,7.64,2.18,35.31
13:00,4,4.26,1.8,18.69
13:00,4,3.02,1.08,10.53
13:00,5,19.14,1.05,41.68
13:00,5,5.13,2.4,27.28
13:00,6,7.56,1.25,21.98
13:00,6,3.74,1.7,16.26
13:00,7,3.06,1.25,11.58
13:00,7,6.0,2.09,27.7
14:00,1,4.92,1.84,21.25
14:00,1,6.35,2.49,33.75
14:00,2,19.83,2.38,91.81
14:00,2,18.2,1.79,64.77
14:00,3,18.76,1.92,71.14
14:00,3,4.87,2.07,23.15
14:00,4,17.29,0.92,33.93
14:00,4,5.51,2.15,26.42
14:00,5,15.82,1.8,57.18
14:00,5,4.2,1.32,14.76
14:00,6,6.24,2.47,33.01
14:00,6,6.06,1.49,21.2
14:00,7,14.4,1.96,56.71
14:00,7,12.12,1.94,48.0
15:00,1,17.57,2.36,81.21
15:00,1,3.95,0.95,11.44
15:00,2,18.44,2.36,85.01
15:00,2,8.62,1.54,29.06
15:00,3,14.33,1.57,46.12
15:00,3,4.0,1.3,14.12
15:00,4,7.47,1.81,29.51
15:00,4,5.08,2.07,23.95
15:00,5,19.46,1.52,59.22
15:00,5,12.27,1.92,48.08
15:00,6,16.36,1.91,62.31
15:00,6,11.3,2.05,47.36
15:00,7,2.43,2.4,15.29
15:00,7,18.18,2.01,72.1
16:00,1,5.63,1.9,24.29
16:00,1,2.51,1.54,11.65
16:00,2,5.88,1.8,24.08
16:00,2,6.51,1.05,17.15
16:00,3,16.29,1.3,43.68
16:00,3,12.07,0.93,25.27
16:00,4,12.14,2.16,53.01
16:00,4,16.13,1.43,47.17
16:00,5,4.31,1.88,19.49
16:00,5,7.52,1.36,23.42
16:00,6,5.78,1.53,20.86
16:00,6,14.28,1.54,45.18
16:00,7,13.64,2.06,56.48
16:00,7,16.59,1.81,60.05
17:00,1,19.83,2.2,85.21
17:00,1,11.67,2.45,57.39
17:00,2,19.48,2.52,95.32
17:00,2,18.5,1.65,60.97
17:00,3,9.6,2.53,49.43
17:00,3,15.19,2.73,81.22
17:00,4,6.79,1.9,28.37
17:00,4,9.43,2.03,39.91
17:00,5,3.67,2.02,18.21
17:00,5,13.56,2.58,69.22
17:00,6,6.14,2.39,31.65
17:00,6,15.52,1.65,51.87
17:00,7,2.26,1.66,11.44
17:00,7,14.22,2.86,79.74
18:00,1,8.97,1.9,36.03
18:00,1,13.29,1.91,51.46
18:00,2,2.71,1.79,13.47
18:00,2,12.81,2.13,54.98
18:00,3,8.24,2.03,35.45
18:00,3,4.47,2.63,26.25
18:00,4,8.73,2.5,44.88
18:00,4,12.22,2.84,68.7
18:00,5,16.34,1.61,53.17
18:00,5,10.13,1.42,31.11
18:00,6,15.59,1.77,55.55
18:00,6,19.58,1.76,68.25
18:00,7,11.15,2.19,49.67
18:00,7,16.89,2.35,77.93
19:00,1,17.86,1.91,67.61
19:00,1,3.75,1.7,16.29
19:00,2,2.83,2.53,17.75
19:00,2,14.35,2.61,73.79
19:00,3,16.06,1.6,52.04
19:00,3,3.15,2.45,18.78
19:00,4,2.02,1.94,11.75
19:00,4,12.58,2.44,61.29
19:00,5,13.08,2.92,75.16
19:00,5,19.54,1.9,73.18
19:00,6,7.67,1.43,24.79
19:00,6,4.18,2.1,20.74
19:00,7,13.55,1.78,49.12
19:00,7,3.79,2.5,22.03
20:00,1,14.1,1.7,48.84
20:00,1,4.54,1.22,14.75
20:00,2,6.83,2.26,33.06
20:00,2,18.67,0.98,38.35
20:00,3,18.86,2.36,86.84
20:00,3,16.27,1.27,42.73
20:00,4,19.41,2.19,83.14
20:00,4,4.51,0.96,12.51
20:00,5,8.8,1.83,34.29
20:00,5,2.44,2.43,15.47
20:00,6,14.11,1.73,49.66
20:00,6,10.85,1.07,25.98
20:00,7,15.46,2.09,64.28
20:00,7,2.4,2.19,14.22
21:00,1,8.38,2.39,41.55
21:00,1,8.16,1.24,23.22
21:00,2,5.52,1.43,19.1
21:00,2,3.27,1.16,11.52
21:00,3,10.51,1.78,39.11
21:00,3,12.04,1.11,29.22
21:00,4,2.44,1.13,9.6
21:00,4,18.19,1.12,42.19
21:00,5,14.31,1.79,51.89
21:00,5,12.8,2.4,61.33
21:00,6,6.6,2.02,29.16
21:00,6,11.32,1.49,35.7
21:00,7,9.22,1.22,25.31
21:00,7,3.82,2.37,21.25
22:00,1,13.53,1.17,33.79
22:00,1,16.46,1.2,41.04
22:00,2,13.92,1.84,51.88
22:00,2,16.34,1.56,51.66
22:00,3,19.19,2.05,77.28
22:00,3,10.09,1.09,24.85
22:00,4,6.65,1.11,18.16
22:00,4,11.38,2.19,50.61
22:00,5,15.36,1.92,59.06
22:00,5,9.68,1.35,28.68
22:00,6,16.47,1.97,64.52
22:00,6,13.94,1.79,50.66
22:00,7,16.23,1.84,59.75
22:00,7,6.74,1.5,23.2
